序号,纬度,经度,速度,车辆状态,设备序列号,时间,路线编号
1,31.215348,121.375965,60,1,A0112,2021.03.23 8:00:00,1
2,31.215348,121.375965,60,1,A0113,2021.03.23 8:00:00,1
4,31.215752,121.375998,60,1,A0113,2021.03.23 8:05:00,1
6,31.216098,121.376192,60,1,A0113,2021.03.23 8:10:00,1
8,31.21631,121.376215,60,1,A0113,2021.03.23 8:15:00,1
10,31.216325,121.376218,60,1,A0113,2021.03.23 8:20:00,1
12,31.216335,121.376217,60,1,A0113,2021.03.23 8:25:00,1
14,31.216338,121.376213,60,1,A0113,2021.03.23 8:30:00,1
16,31.216342,121.376212,60,1,A0113,2021.03.23 8:35:00,1
18,31.216347,121.376213,60,1,A0113,2021.03.23 8:40:00,1
20,31.21635,121.376213,60,1,A0113,2021.03.23 8:45:00,1
21,31.216347,121.376215,60,1,A0112,2021.03.23 8:50:00,1
22,31.216347,121.376215,60,1,A0113,2021.03.23 8:50:00,1
23,31.216342,121.376218,60,1,A0112,2021.03.23 8:55:00,1
24,31.216342,121.376218,60,1,A0113,2021.03.23 8:55:00,1
25,31.216337,121.37622,60,1,A0112,2021.03.23 9:00:00,1
26,31.216337,121.37622,60,1,A0113,2021.03.23 9:00:00,1
27,31.216333,121.37622,60,1,A0112,2021.03.23 9:05:00,1
28,31.216333,121.37622,60,1,A0113,2021.03.23 9:05:00,1
29,31.216332,121.376217,60,1,A0112,2021.03.23 9:10:00,1
30,31.216332,121.376217,60,1,A0113,2021.03.23 9:10:00,1
31,31.216328,121.376218,60,1,A0112,2021.03.23 9:15:00,1
32,31.216328,121.376218,60,1,A0113,2021.03.23 9:15:00,1
33,31.216328,121.376218,60,1,A0112,2021.03.23 9:20:00,1
34,31.216328,121.376218,60,1,A0113,2021.03.23 9:20:00,1
35,31.216327,121.376225,60,1,A0112,2021.03.23 9:25:00,1
36,31.216327,121.376225,60,1,A0113,2021.03.23 9:25:00,1
37,31.216325,121.37623,60,1,A0112,2021.03.23 9:30:00,1
38,31.216325,121.37623,60,1,A0113,2021.03.23 9:30:00,1
39,31.216325,121.376232,60,1,A0112,2021.03.23 9:35:00,1
40,31.216325,121.376232,60,1,A0113,2021.03.23 9:35:00,1
41,31.21633,121.376232,60,1,A0112,2021.03.23 9:40:00,1
42,31.21633,121.376232,60,1,A0113,2021.03.23 9:40:00,1
43,31.21633,121.37623,60,1,A0112,2021.03.23 9:45:00,1
44,31.21633,121.37623,60,1,A0113,2021.03.23 9:45:00,1
45,31.216333,121.37623,60,1,A0112,2021.03.23 9:50:00,1
46,31.216333,121.37623,60,1,A0113,2021.03.23 9:50:00,1
47,31.216333,121.37623,60,1,A0112,2021.03.23 9:55:00,1
48,31.216333,121.37623,60,1,A0113,2021.03.23 9:55:00,1
49,31.216332,121.376235,60,1,A0112,2021.03.23 10:00:00,1
50,31.216332,121.376235,60,1,A0113,2021.03.23 10:00:00,1
