序号,纬度,经度,速度,车辆状态,设备序列号,时间
1,31.215348,121.375965,60,1,A0112,2021.03.23 8:00:00
2,31.215348,121.375965,60,1,A0113,2021.03.23 8:00:00
3,31.215752,121.375998,60,1,A0112,2021.03.23 8:00:10
4,31.215752,121.375998,60,1,A0113,2021.03.23 8:00:10
5,31.216098,121.376192,60,1,A0112,2021.03.23 8:00:20
6,31.216098,121.376192,60,1,A0113,2021.03.23 8:00:20
7,31.21631,121.376215,60,1,A0112,2021.03.23 8:00:30
8,31.21631,121.376215,60,1,A0113,2021.03.23 8:00:30
9,31.216325,121.376218,60,1,A0112,2021.03.23 8:00:40
10,31.216325,121.376218,60,1,A0113,2021.03.23 8:00:40
11,31.216335,121.376217,60,1,A0112,2021.03.23 8:00:50
12,31.216335,121.376217,60,1,A0113,2021.03.23 8:00:50
13,31.216338,121.376213,60,1,A0112,2021.03.23 8:01:00
14,31.216338,121.376213,60,1,A0113,2021.03.23 8:01:00
15,31.216342,121.376212,60,1,A0112,2021.03.23 8:01:10
16,31.216342,121.376212,60,1,A0113,2021.03.23 8:01:10
17,31.216347,121.376213,60,1,A0112,2021.03.23 8:01:20
18,31.216347,121.376213,60,1,A0113,2021.03.23 8:01:20
19,31.21635,121.376213,60,1,A0112,2021.03.23 8:01:30
20,31.21635,121.376213,60,1,A0113,2021.03.23 8:01:30
21,31.216347,121.376215,60,1,A0112,2021.03.23 8:01:40
22,31.216347,121.376215,60,1,A0113,2021.03.23 8:01:40
23,31.216342,121.376218,60,1,A0112,2021.03.23 8:01:50
24,31.216342,121.376218,60,1,A0113,2021.03.23 8:01:50
25,31.216337,121.37622,60,1,A0112,2021.03.23 8:02:00
26,31.216337,121.37622,60,1,A0113,2021.03.23 8:02:00
27,31.216333,121.37622,60,1,A0112,2021.03.23 8:02:10
28,31.216333,121.37622,60,1,A0113,2021.03.23 8:02:10
29,31.216332,121.376217,60,1,A0112,2021.03.23 8:02:20
30,31.216332,121.376217,60,1,A0113,2021.03.23 8:02:20
31,31.216328,121.376218,60,1,A0112,2021.03.23 8:02:30
32,31.216328,121.376218,60,1,A0113,2021.03.23 8:02:30
33,31.216328,121.376218,60,1,A0112,2021.03.23 8:02:40
34,31.216328,121.376218,60,1,A0113,2021.03.23 8:02:40
35,31.216327,121.376225,60,1,A0112,2021.03.23 8:02:50
36,31.216327,121.376225,60,1,A0113,2021.03.23 8:02:50
37,31.216325,121.37623,60,1,A0112,2021.03.23 8:03:00
38,31.216325,121.37623,60,1,A0113,2021.03.23 8:03:00
39,31.216325,121.376232,60,1,A0112,2021.03.23 8:03:10
40,31.216325,121.376232,60,1,A0113,2021.03.23 8:03:10
41,31.21633,121.376232,60,1,A0112,2021.03.23 8:03:20
42,31.21633,121.376232,60,1,A0113,2021.03.23 8:03:20
43,31.21633,121.37623,60,1,A0112,2021.03.23 8:03:30
44,31.21633,121.37623,60,1,A0113,2021.03.23 8:03:30
45,31.216333,121.37623,60,1,A0112,2021.03.23 8:03:40
46,31.216333,121.37623,60,1,A0113,2021.03.23 8:03:40
47,31.216333,121.37623,60,1,A0112,2021.03.23 8:03:50
48,31.216333,121.37623,60,1,A0113,2021.03.23 8:03:50
49,31.216332,121.376235,60,1,A0112,2021.03.23 8:04:00
50,31.216332,121.376235,60,1,A0113,2021.03.23 8:04:00
51,31.216332,121.376237,60,1,A0112,2021.03.23 8:04:10
52,31.216332,121.376237,60,1,A0113,2021.03.23 8:04:10
53,31.216332,121.376238,60,1,A0112,2021.03.23 8:04:20
54,31.216332,121.376238,60,1,A0113,2021.03.23 8:04:20
55,31.216332,121.37624,60,1,A0112,2021.03.23 8:04:30
56,31.216332,121.37624,60,1,A0113,2021.03.23 8:04:30
57,31.216335,121.376243,60,1,A0112,2021.03.23 8:04:40
58,31.216335,121.376243,60,1,A0113,2021.03.23 8:04:40
59,31.216337,121.376245,60,1,A0112,2021.03.23 8:04:50
60,31.216337,121.376245,60,1,A0113,2021.03.23 8:04:50
61,31.216342,121.376248,60,1,A0112,2021.03.23 8:05:00
62,31.216342,121.376248,60,1,A0113,2021.03.23 8:05:00
63,31.216345,121.376248,60,1,A0112,2021.03.23 8:05:10
64,31.216345,121.376248,60,1,A0113,2021.03.23 8:05:10
65,31.216345,121.376252,60,1,A0112,2021.03.23 8:05:20
66,31.216345,121.376252,60,1,A0113,2021.03.23 8:05:20
67,31.216343,121.376252,60,1,A0112,2021.03.23 8:05:30
68,31.216343,121.376252,60,1,A0113,2021.03.23 8:05:30
69,31.21634,121.376252,60,1,A0112,2021.03.23 8:05:40
70,31.21634,121.376252,60,1,A0113,2021.03.23 8:05:40
71,31.21634,121.376252,60,1,A0112,2021.03.23 8:05:50
72,31.21634,121.376252,60,1,A0113,2021.03.23 8:05:50
73,31.216338,121.376253,60,1,A0112,2021.03.23 8:06:00
74,31.216338,121.376253,60,1,A0113,2021.03.23 8:06:00
75,31.216342,121.376255,60,1,A0112,2021.03.23 8:06:10
76,31.216342,121.376255,60,1,A0113,2021.03.23 8:06:10
77,31.216345,121.37626,60,1,A0112,2021.03.23 8:06:20
78,31.216345,121.37626,60,1,A0113,2021.03.23 8:06:20
79,31.216347,121.376262,60,1,A0112,2021.03.23 8:06:30
80,31.216347,121.376262,60,1,A0113,2021.03.23 8:06:30
81,31.216348,121.376265,60,1,A0112,2021.03.23 8:06:40
82,31.216348,121.376265,60,1,A0113,2021.03.23 8:06:40
83,31.216348,121.376262,60,1,A0112,2021.03.23 8:06:50
84,31.216348,121.376262,60,1,A0113,2021.03.23 8:06:50
85,31.216345,121.376257,60,1,A0112,2021.03.23 8:07:00
86,31.216345,121.376257,60,1,A0113,2021.03.23 8:07:00
87,31.216343,121.376252,60,1,A0112,2021.03.23 8:07:10
88,31.216343,121.376252,60,1,A0113,2021.03.23 8:07:10
89,31.21634,121.37625,60,1,A0112,2021.03.23 8:07:20
90,31.21634,121.37625,60,1,A0113,2021.03.23 8:07:20
91,31.216337,121.376248,60,1,A0112,2021.03.23 8:07:30
92,31.216337,121.376248,60,1,A0113,2021.03.23 8:07:30
93,31.216332,121.376248,60,1,A0112,2021.03.23 8:07:40
94,31.216332,121.376248,60,1,A0113,2021.03.23 8:07:40
95,31.21633,121.37625,60,1,A0112,2021.03.23 8:07:50
96,31.21633,121.37625,60,1,A0113,2021.03.23 8:07:50
97,31.216325,121.376253,60,1,A0112,2021.03.23 8:08:00
98,31.216325,121.376253,60,1,A0113,2021.03.23 8:08:00
99,31.216323,121.376255,60,1,A0112,2021.03.23 8:08:10
100,31.216323,121.376255,60,1,A0113,2021.03.23 8:08:10
101,31.216322,121.376257,60,1,A0112,2021.03.23 8:08:20
102,31.216322,121.376257,60,1,A0113,2021.03.23 8:08:20
103,31.216322,121.376262,60,1,A0112,2021.03.23 8:08:30
104,31.216322,121.376262,60,1,A0113,2021.03.23 8:08:30
105,31.216322,121.376267,60,1,A0112,2021.03.23 8:08:40
106,31.216322,121.376267,60,1,A0113,2021.03.23 8:08:40
107,31.216317,121.37627,60,1,A0112,2021.03.23 8:08:50
108,31.216317,121.37627,60,1,A0113,2021.03.23 8:08:50
109,31.216318,121.376275,60,1,A0112,2021.03.23 8:09:00
110,31.216318,121.376275,60,1,A0113,2021.03.23 8:09:00
111,31.216318,121.376278,60,1,A0112,2021.03.23 8:09:10
112,31.216318,121.376278,60,1,A0113,2021.03.23 8:09:10
113,31.216315,121.376275,60,1,A0112,2021.03.23 8:09:20
114,31.216315,121.376275,60,1,A0113,2021.03.23 8:09:20
115,31.216312,121.376272,60,1,A0112,2021.03.23 8:09:30
116,31.216312,121.376272,60,1,A0113,2021.03.23 8:09:30
117,31.21631,121.376273,60,1,A0112,2021.03.23 8:09:40
118,31.21631,121.376273,60,1,A0113,2021.03.23 8:09:40
119,31.21631,121.376273,60,1,A0112,2021.03.23 8:09:50
120,31.21631,121.376273,60,1,A0113,2021.03.23 8:09:50
121,31.21631,121.376273,60,1,A0112,2021.03.23 8:10:00
122,31.21631,121.376273,60,1,A0113,2021.03.23 8:10:00
123,31.216312,121.37627,60,1,A0112,2021.03.23 8:10:10
124,31.216312,121.37627,60,1,A0113,2021.03.23 8:10:10
125,31.216313,121.376267,60,1,A0112,2021.03.23 8:10:20
126,31.216313,121.376267,60,1,A0113,2021.03.23 8:10:20
127,31.216318,121.376262,60,1,A0112,2021.03.23 8:10:30
128,31.216318,121.376262,60,1,A0113,2021.03.23 8:10:30
129,31.216322,121.376258,60,1,A0112,2021.03.23 8:10:40
130,31.216322,121.376258,60,1,A0113,2021.03.23 8:10:40
131,31.216327,121.376257,60,1,A0112,2021.03.23 8:10:50
132,31.216327,121.376257,60,1,A0113,2021.03.23 8:10:50
133,31.216328,121.376255,60,1,A0112,2021.03.23 8:11:00
134,31.216328,121.376255,60,1,A0113,2021.03.23 8:11:00
135,31.216332,121.376252,60,1,A0112,2021.03.23 8:11:10
136,31.216332,121.376252,60,1,A0113,2021.03.23 8:11:10
137,31.216333,121.37625,60,1,A0112,2021.03.23 8:11:20
138,31.216333,121.37625,60,1,A0113,2021.03.23 8:11:20
139,31.216335,121.376245,60,1,A0112,2021.03.23 8:11:30
140,31.216335,121.376245,60,1,A0113,2021.03.23 8:11:30
141,31.216337,121.376243,60,1,A0112,2021.03.23 8:11:40
142,31.216337,121.376243,60,1,A0113,2021.03.23 8:11:40
143,31.216335,121.376247,60,1,A0112,2021.03.23 8:11:50
144,31.216335,121.376247,60,1,A0113,2021.03.23 8:11:50
145,31.216335,121.376247,60,1,A0112,2021.03.23 8:12:00
146,31.216335,121.376247,60,1,A0113,2021.03.23 8:12:00
147,31.216333,121.376247,60,1,A0112,2021.03.23 8:12:10
148,31.216333,121.376247,60,1,A0113,2021.03.23 8:12:10
149,31.216332,121.376245,60,1,A0112,2021.03.23 8:12:20
150,31.216332,121.376245,60,1,A0113,2021.03.23 8:12:20
151,31.216332,121.376243,60,1,A0112,2021.03.23 8:12:30
152,31.216332,121.376243,60,1,A0113,2021.03.23 8:12:30
153,31.216332,121.376243,60,1,A0112,2021.03.23 8:12:40
154,31.216332,121.376243,60,1,A0113,2021.03.23 8:12:40
155,31.216332,121.376242,60,1,A0112,2021.03.23 8:12:50
156,31.216332,121.376242,60,1,A0113,2021.03.23 8:12:50
157,31.216332,121.376242,60,1,A0112,2021.03.23 8:13:00
158,31.216332,121.376242,60,1,A0113,2021.03.23 8:13:00
159,31.216333,121.376242,60,1,A0112,2021.03.23 8:13:10
160,31.216333,121.376242,60,1,A0113,2021.03.23 8:13:10
161,31.216333,121.376242,60,1,A0112,2021.03.23 8:13:20
162,31.216333,121.376242,60,1,A0113,2021.03.23 8:13:20
163,31.216333,121.376238,60,1,A0112,2021.03.23 8:13:30
164,31.216333,121.376238,60,1,A0113,2021.03.23 8:13:30
165,31.216333,121.376237,60,1,A0112,2021.03.23 8:13:40
166,31.216333,121.376237,60,1,A0113,2021.03.23 8:13:40
167,31.216332,121.376237,60,1,A0112,2021.03.23 8:13:50
168,31.216332,121.376237,60,1,A0113,2021.03.23 8:13:50
169,31.216332,121.376237,60,1,A0112,2021.03.23 8:14:00
170,31.216332,121.376237,60,1,A0113,2021.03.23 8:14:00
171,31.216323,121.376242,60,1,A0112,2021.03.23 8:14:10
172,31.216323,121.376242,60,1,A0113,2021.03.23 8:14:10
173,31.216323,121.376242,60,1,A0112,2021.03.23 8:14:20
174,31.216323,121.376242,60,1,A0113,2021.03.23 8:14:20
175,31.216315,121.37625,60,1,A0112,2021.03.23 8:14:30
176,31.216315,121.37625,60,1,A0113,2021.03.23 8:14:30
177,31.216313,121.376252,60,1,A0112,2021.03.23 8:14:40
178,31.216313,121.376252,60,1,A0113,2021.03.23 8:14:40
179,31.216302,121.376258,60,1,A0112,2021.03.23 8:14:50
180,31.216302,121.376258,60,1,A0113,2021.03.23 8:14:50
181,31.2163,121.376258,60,1,A0112,2021.03.23 8:15:00
182,31.2163,121.376258,60,1,A0113,2021.03.23 8:15:00
183,31.216293,121.37626,60,1,A0112,2021.03.23 8:15:10
184,31.216293,121.37626,60,1,A0113,2021.03.23 8:15:10
185,31.216293,121.37626,60,1,A0112,2021.03.23 8:15:20
186,31.216293,121.37626,60,1,A0113,2021.03.23 8:15:20
187,31.216287,121.376262,60,1,A0112,2021.03.23 8:15:30
188,31.216287,121.376262,60,1,A0113,2021.03.23 8:15:30
189,31.216287,121.376262,60,1,A0112,2021.03.23 8:15:40
190,31.216287,121.376262,60,1,A0113,2021.03.23 8:15:40
191,31.216283,121.376263,60,1,A0112,2021.03.23 8:15:50
192,31.216283,121.376263,60,1,A0113,2021.03.23 8:15:50
193,31.216282,121.376263,60,1,A0112,2021.03.23 8:16:00
194,31.216282,121.376263,60,1,A0113,2021.03.23 8:16:00
195,31.216282,121.376268,60,1,A0112,2021.03.23 8:16:10
196,31.216282,121.376268,60,1,A0113,2021.03.23 8:16:10
197,31.216283,121.376273,60,1,A0112,2021.03.23 8:16:20
198,31.216283,121.376273,60,1,A0113,2021.03.23 8:16:20
199,31.216282,121.376273,60,1,A0112,2021.03.23 8:16:30
200,31.216282,121.376273,60,1,A0113,2021.03.23 8:16:30
201,31.216283,121.376273,60,1,A0112,2021.03.23 8:16:40
202,31.216283,121.376273,60,1,A0113,2021.03.23 8:16:40
203,31.216278,121.37627,60,1,A0112,2021.03.23 8:16:50
204,31.216278,121.37627,60,1,A0113,2021.03.23 8:16:50
205,31.216277,121.37627,60,1,A0112,2021.03.23 8:17:00
206,31.216277,121.37627,60,1,A0113,2021.03.23 8:17:00
207,31.216268,121.37627,60,1,A0112,2021.03.23 8:17:10
208,31.216268,121.37627,60,1,A0113,2021.03.23 8:17:10
209,31.216267,121.376272,60,1,A0112,2021.03.23 8:17:20
210,31.216267,121.376272,60,1,A0113,2021.03.23 8:17:20
211,31.216257,121.376282,60,1,A0112,2021.03.23 8:17:30
212,31.216257,121.376282,60,1,A0113,2021.03.23 8:17:30
213,31.216258,121.37628,60,1,A0112,2021.03.23 8:17:40
214,31.216258,121.37628,60,1,A0113,2021.03.23 8:17:40
215,31.216255,121.376293,60,1,A0112,2021.03.23 8:17:50
216,31.216255,121.376293,60,1,A0113,2021.03.23 8:17:50
217,31.216255,121.376293,60,1,A0112,2021.03.23 8:18:00
218,31.216255,121.376293,60,1,A0113,2021.03.23 8:18:00
219,31.216253,121.376298,60,1,A0112,2021.03.23 8:18:10
220,31.216253,121.376298,60,1,A0113,2021.03.23 8:18:10
221,31.216253,121.376298,60,1,A0112,2021.03.23 8:18:20
222,31.216253,121.376298,60,1,A0113,2021.03.23 8:18:20
223,31.216257,121.376297,60,1,A0112,2021.03.23 8:18:30
224,31.216257,121.376297,60,1,A0113,2021.03.23 8:18:30
225,31.216257,121.376295,60,1,A0112,2021.03.23 8:18:40
226,31.216257,121.376295,60,1,A0113,2021.03.23 8:18:40
227,31.21626,121.376288,60,1,A0112,2021.03.23 8:18:50
228,31.21626,121.376288,60,1,A0113,2021.03.23 8:18:50
229,31.21626,121.376287,60,1,A0112,2021.03.23 8:19:00
230,31.21626,121.376287,60,1,A0113,2021.03.23 8:19:00
231,31.216263,121.376285,60,1,A0112,2021.03.23 8:19:10
232,31.216263,121.376285,60,1,A0113,2021.03.23 8:19:10
233,31.216265,121.376285,60,1,A0112,2021.03.23 8:19:20
234,31.216265,121.376285,60,1,A0113,2021.03.23 8:19:20
235,31.216268,121.376278,60,1,A0112,2021.03.23 8:19:30
236,31.216268,121.376278,60,1,A0113,2021.03.23 8:19:30
237,31.216268,121.376275,60,1,A0112,2021.03.23 8:19:40
238,31.216268,121.376275,60,1,A0113,2021.03.23 8:19:40
239,31.216275,121.376262,60,1,A0112,2021.03.23 8:19:50
240,31.216275,121.376262,60,1,A0113,2021.03.23 8:19:50
241,31.216277,121.376258,60,1,A0112,2021.03.23 8:20:00
242,31.216277,121.376258,60,1,A0113,2021.03.23 8:20:00
243,31.216285,121.376248,60,1,A0112,2021.03.23 8:20:10
244,31.216285,121.376248,60,1,A0113,2021.03.23 8:20:10
245,31.216285,121.376245,60,1,A0112,2021.03.23 8:20:20
246,31.216285,121.376245,60,1,A0113,2021.03.23 8:20:20
247,31.216285,121.37624,60,1,A0112,2021.03.23 8:20:30
248,31.216285,121.37624,60,1,A0113,2021.03.23 8:20:30
249,31.216283,121.376238,60,1,A0112,2021.03.23 8:20:40
250,31.216283,121.376238,60,1,A0113,2021.03.23 8:20:40
251,31.216282,121.376238,60,1,A0112,2021.03.23 8:20:50
252,31.216282,121.376238,60,1,A0113,2021.03.23 8:20:50
253,31.216282,121.376238,60,1,A0112,2021.03.23 8:21:00
254,31.216282,121.376238,60,1,A0113,2021.03.23 8:21:00
255,31.216282,121.376238,60,1,A0112,2021.03.23 8:21:10
256,31.216282,121.376238,60,1,A0113,2021.03.23 8:21:10
257,31.216282,121.376237,60,1,A0112,2021.03.23 8:21:20
258,31.216282,121.376237,60,1,A0113,2021.03.23 8:21:20
259,31.216282,121.376233,60,1,A0112,2021.03.23 8:21:30
260,31.216282,121.376233,60,1,A0113,2021.03.23 8:21:30
261,31.216282,121.376232,60,1,A0112,2021.03.23 8:21:40
262,31.216282,121.376232,60,1,A0113,2021.03.23 8:21:40
263,31.216283,121.37623,60,1,A0112,2021.03.23 8:21:50
264,31.216283,121.37623,60,1,A0113,2021.03.23 8:21:50
265,31.216285,121.37623,60,1,A0112,2021.03.23 8:22:00
266,31.216285,121.37623,60,1,A0113,2021.03.23 8:22:00
267,31.216283,121.376235,60,1,A0112,2021.03.23 8:22:10
268,31.216283,121.376235,60,1,A0113,2021.03.23 8:22:10
269,31.216283,121.376237,60,1,A0112,2021.03.23 8:22:20
270,31.216283,121.376237,60,1,A0113,2021.03.23 8:22:20
271,31.21628,121.376248,60,1,A0112,2021.03.23 8:22:30
272,31.21628,121.376248,60,1,A0113,2021.03.23 8:22:30
273,31.216278,121.376258,60,1,A0112,2021.03.23 8:22:40
274,31.216278,121.376258,60,1,A0113,2021.03.23 8:22:40
275,31.216277,121.376275,60,1,A0112,2021.03.23 8:22:50
276,31.216277,121.376275,60,1,A0113,2021.03.23 8:22:50
277,31.216275,121.376283,60,1,A0112,2021.03.23 8:23:00
278,31.216275,121.376283,60,1,A0113,2021.03.23 8:23:00
279,31.216273,121.376298,60,1,A0112,2021.03.23 8:23:10
280,31.216273,121.376298,60,1,A0113,2021.03.23 8:23:10
281,31.21627,121.376305,60,1,A0112,2021.03.23 8:23:20
282,31.21627,121.376305,60,1,A0113,2021.03.23 8:23:20
283,31.216267,121.37631,60,1,A0112,2021.03.23 8:23:30
284,31.216267,121.37631,60,1,A0113,2021.03.23 8:23:30
285,31.216263,121.376308,60,1,A0112,2021.03.23 8:23:40
286,31.216263,121.376308,60,1,A0113,2021.03.23 8:23:40
287,31.21626,121.376302,60,1,A0112,2021.03.23 8:23:50
288,31.21626,121.376302,60,1,A0113,2021.03.23 8:23:50
289,31.216258,121.376298,60,1,A0112,2021.03.23 8:24:00
290,31.216258,121.376298,60,1,A0113,2021.03.23 8:24:00
291,31.216257,121.37629,60,1,A0112,2021.03.23 8:24:10
292,31.216257,121.37629,60,1,A0113,2021.03.23 8:24:10
293,31.216257,121.376283,60,1,A0112,2021.03.23 8:24:20
294,31.216257,121.376283,60,1,A0113,2021.03.23 8:24:20
295,31.216255,121.37628,60,1,A0112,2021.03.23 8:24:30
296,31.216255,121.37628,60,1,A0113,2021.03.23 8:24:30
297,31.216257,121.37628,60,1,A0112,2021.03.23 8:24:40
298,31.216257,121.37628,60,1,A0113,2021.03.23 8:24:40
299,31.216257,121.376283,60,1,A0112,2021.03.23 8:24:50
300,31.216257,121.376283,60,1,A0113,2021.03.23 8:24:50
301,31.216255,121.376285,60,1,A0112,2021.03.23 8:25:00
302,31.216255,121.376285,60,1,A0113,2021.03.23 8:25:00
303,31.216257,121.376283,60,1,A0112,2021.03.23 8:25:10
304,31.216257,121.376283,60,1,A0113,2021.03.23 8:25:10
305,31.21626,121.376278,60,1,A0112,2021.03.23 8:25:20
306,31.21626,121.376278,60,1,A0113,2021.03.23 8:25:20
307,31.216263,121.376273,60,1,A0112,2021.03.23 8:25:30
308,31.216263,121.376273,60,1,A0113,2021.03.23 8:25:30
309,31.216268,121.376272,60,1,A0112,2021.03.23 8:25:40
310,31.216268,121.376272,60,1,A0113,2021.03.23 8:25:40
311,31.216277,121.376267,60,1,A0112,2021.03.23 8:25:50
312,31.216277,121.376267,60,1,A0113,2021.03.23 8:25:50
313,31.216283,121.376263,60,1,A0112,2021.03.23 8:26:00
314,31.216283,121.376263,60,1,A0113,2021.03.23 8:26:00
315,31.216287,121.376262,60,1,A0112,2021.03.23 8:26:10
316,31.216287,121.376262,60,1,A0113,2021.03.23 8:26:10
317,31.21629,121.376257,60,1,A0112,2021.03.23 8:26:20
318,31.21629,121.376257,60,1,A0113,2021.03.23 8:26:20
319,31.21629,121.376253,60,1,A0112,2021.03.23 8:26:30
320,31.21629,121.376253,60,1,A0113,2021.03.23 8:26:30
321,31.216288,121.376248,60,1,A0112,2021.03.23 8:26:40
322,31.216288,121.376248,60,1,A0113,2021.03.23 8:26:40
323,31.216287,121.376243,60,1,A0112,2021.03.23 8:26:50
324,31.216287,121.376243,60,1,A0113,2021.03.23 8:26:50
325,31.216285,121.376237,60,1,A0112,2021.03.23 8:27:00
326,31.216285,121.376237,60,1,A0113,2021.03.23 8:27:00
327,31.216283,121.376233,60,1,A0112,2021.03.23 8:27:10
328,31.216283,121.376233,60,1,A0113,2021.03.23 8:27:10
329,31.216285,121.376235,60,1,A0112,2021.03.23 8:27:20
330,31.216285,121.376235,60,1,A0113,2021.03.23 8:27:20
331,31.216285,121.376237,60,1,A0112,2021.03.23 8:27:30
332,31.216285,121.376237,60,1,A0113,2021.03.23 8:27:30
333,31.216283,121.376238,60,1,A0112,2021.03.23 8:27:40
334,31.216283,121.376238,60,1,A0113,2021.03.23 8:27:40
335,31.216285,121.37624,60,1,A0112,2021.03.23 8:27:50
